### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 -553.545 506.672 595.86 2.24816e-05 -3.063e-06
2212 4000 -505.923 476.511 598.96 8.45377e-06 -1.62613e-05
2212 4000 -504.566 473.901 599.121 8.45377e-06 -1.62613e-05
2212 4000 -500.728 466.523 599.575 8.45478e-06 -1.62459e-05
2212 4000 -495.258 456.012 600.222 8.45478e-06 -1.62459e-05
2212 4000 -485.926 438.08 601.326 8.45478e-06 -1.62459e-05
2212 4000 -364.978 205.764 615.626 8.46108e-06 -1.62459e-05
2212 4000 -363.123 202.202 615.845 8.46108e-06 -1.62459e-05
2212 4000 -362.192 200.415 615.955 8.46108e-06 -1.62459e-05
2212 4000 -356.299 189.099 616.651 8.46108e-06 -1.62459e-05
2212 4000 -353.466 183.661 616.986 8.46108e-06 -1.62459e-05
2212 4000 -232.43 -48.6548 631.286 8.46714e-06 -1.62458e-05
2212 4000 -230.573 -52.2166 631.505 8.46714e-06 -1.62458e-05
2212 4000 -229.642 -54.0037 631.615 8.46714e-06 -1.62458e-05
2212 4000 -220.91 -70.7572 632.647 8.46714e-06 -1.62458e-05
2212 4000 -99.7886 -303.072 646.947 8.47296e-06 -1.62458e-05
2212 4000 -97.9309 -306.634 647.166 8.47296e-06 -1.62458e-05
2212 4000 -96.9989 -308.421 647.276 8.47296e-06 -1.62458e-05
2212 4000 -90.0172 -321.808 648.1 8.47296e-06 -1.62458e-05
2212 4000 -84.9843 -331.458 648.694 8.47296e-06 -1.62458e-05
2212 4000 -82.2729 -336.656 649.014 8.47296e-06 -1.62458e-05
2212 4000 -79.748 -341.498 649.312 8.47296e-06 -1.62458e-05
2212 4000 -50.4382 -407.446 652.412 1.03002e-05 -2.66075e-05
2212 4000 -48.785 -411.717 652.572 1.03002e-05 -2.66075e-05
2212 4000 -44.1078 -423.796 653.026 1.03036e-05 -2.66068e-05
2212 4000 -37.4414 -441.011 653.673 1.03036e-05 -2.66068e-05
2212 4000 -29.5179 -461.471 654.442 1.03036e-05 -2.66068e-05
2212 4000 -26.0688 -470.378 654.777 1.03036e-05 -2.66068e-05
2212 4000 121.312 -850.855 669.077 1.0309e-05 -2.66067e-05
2212 4000 123.572 -856.688 669.296 1.0309e-05 -2.66067e-05
2212 4000 124.706 -859.615 669.406 1.0309e-05 -2.66067e-05
2212 4000 135.337 -887.053 670.438 1.0309e-05 -2.66067e-05
2212 4000 282.793 -1267.53 684.738 1.03142e-05 -2.66066e-05
2212 4000 285.054 -1273.36 684.957 1.03142e-05 -2.66066e-05
2212 4000 286.189 -1276.29 685.067 1.03142e-05 -2.66066e-05
2212 4000 293.373 -1294.82 685.763 1.03142e-05 -2.66066e-05
2212 4000 296.825 -1303.73 686.098 1.03142e-05 -2.66066e-05
2212 4000 444.352 -1684.2 700.398 1.0319e-05 -2.66065e-05
2212 4000 446.614 -1690.03 700.617 1.0319e-05 -2.66065e-05
2212 4000 447.749 -1692.96 700.727 1.0319e-05 -2.66065e-05
2212 4000 456.252 -1714.88 701.551 1.0319e-05 -2.66065e-05
2212 4000 462.381 -1730.69 702.145 1.0319e-05 -2.66065e-05
2212 4000 465.684 -1739.2 702.465 1.0319e-05 -2.66065e-05
2212 4000 468.759 -1747.13 702.763 1.0319e-05 -2.66065e-05
2212 4000 520.697 -1756.77 705.863 2.34198e-05 2.04301e-05
2212 4000 524.455 -1753.49 706.024 2.34198e-05 2.04301e-05
2212 4000 535.064 -1744.2 706.478 2.33295e-05 2.04902e-05
2212 4000 550.158 -1730.94 707.125 2.33295e-05 2.04902e-05
2212 4000 575.908 -1708.33 708.229 2.33295e-05 2.04902e-05
2212 4000 909.547 -1415.32 722.529 2.33337e-05 2.04902e-05
2212 4000 914.663 -1410.82 722.748 2.33337e-05 2.04902e-05
2212 4000 917.23 -1408.57 722.858 2.33337e-05 2.04902e-05
2212 4000 933.482 -1394.3 723.554 2.33337e-05 2.04902e-05
2212 4000 941.293 -1387.44 723.889 2.33337e-05 2.04902e-05
2212 4000 1274.99 -1094.43 738.189 2.33372e-05 2.04901e-05
2212 4000 1280.1 -1089.94 738.408 2.33372e-05 2.04901e-05
2212 4000 1282.67 -1087.69 738.518 2.33372e-05 2.04901e-05
2212 4000 1306.74 -1066.55 739.55 2.33372e-05 2.04901e-05
2212 4000 1640.47 -773.547 753.85 2.334e-05 2.049e-05
2212 4000 1645.59 -769.054 754.069 2.334e-05 2.049e-05
2212 4000 1648.16 -766.8 754.179 2.334e-05 2.049e-05
2212 4000 1667.39 -749.917 755.003 2.334e-05 2.049e-05
2212 4000 1681.25 -737.745 755.597 2.334e-05 2.049e-05
2212 4000 1688.72 -731.189 755.917 2.334e-05 2.049e-05
2212 4000 1695.68 -725.083 756.215 2.334e-05 2.049e-05
2212 4000 1694.27 -692.193 759.315 -2.42408e-05 8.81729e-07
2212 4000 1690.38 -692.051 759.475 -2.42408e-05 8.81729e-07
2212 4000 1679.36 -691.663 759.929 -2.42872e-05 8.35939e-07
2212 4000 1663.65 -691.123 760.576 -2.42872e-05 8.35939e-07
2212 4000 1644.97 -690.48 761.345 -2.42872e-05 8.35939e-07
2212 4000 1636.84 -690.2 761.68 -2.42872e-05 8.35939e-07
2212 4000 1289.55 -678.246 775.98 -2.42843e-05 8.35936e-07
2212 4000 1284.22 -678.063 776.199 -2.42843e-05 8.35936e-07
2212 4000 1281.55 -677.971 776.309 -2.42843e-05 8.35936e-07
2212 4000 1256.51 -677.109 777.341 -2.42843e-05 8.35936e-07
2212 4000 909.263 -665.155 791.641 -2.42808e-05 8.35933e-07
2212 4000 903.939 -664.972 791.86 -2.42808e-05 8.35933e-07
2212 4000 901.269 -664.88 791.97 -2.42808e-05 8.35933e-07
2212 4000 884.357 -664.297 792.667 -2.42808e-05 8.35933e-07
2212 4000 876.229 -664.018 793.001 -2.42808e-05 8.35933e-07
