@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_010040"          4.566779901277986e+10          1          5          5          0          1          0          0          4          0
 "C1_005000"         -1.117484821885337e+00          1          5          5          0          0          5          0          0          0
 "C1_004100"          2.940169780669621e+02          1          5          5          0          0          4          1          0          0
 "C1_004010"          1.002761040112391e+08          1          5          5          0          0          4          0          1          0
 "C1_003200"         -2.961441000673002e+04          1          5          5          0          0          3          2          0          0
 "C1_003110"         -9.154578089658646e+09          1          5          5          0          0          3          1          1          0
 "C1_003020"          1.279473008839148e+08          1          5          5          0          0          3          0          2          0
 "C1_002300"          1.447000837386745e+06          1          5          5          0          0          2          3          0          0
 "C1_002210"         -1.313064608889935e+11          1          5          5          0          0          2          2          1          0
 "C1_002120"         -1.244524261374415e+10          1          5          5          0          0          2          1          2          0
 "C1_002030"         -1.107271249258135e+09          1          5          5          0          0          2          0          3          0
 "C1_001400"         -3.323940531330278e+07          1          5          5          0          0          1          4          0          0
 "C1_001310"          3.369132570725379e+13          1          5          5          0          0          1          3          1          0
 "C1_001220"          3.243324334628049e+11          1          5          5          0          0          1          2          2          0
 "C1_001130"          1.386793579239058e+11          1          5          5          0          0          1          1          3          0
 "C1_001040"         -2.088562344480221e+08          1          5          5          0          0          1          0          4          0
 "C1_000500"          2.687655472589289e+08          1          5          5          0          0          0          5          0          0
 "C1_000410"         -8.027296297989318e+14          1          5          5          0          0          0          4          1          0
 "C1_000320"          1.229202268546378e+11          1          5          5          0          0          0          3          2          0
 "C1_000230"         -4.527716881933746e+12          1          5          5          0          0          0          2          3          0
 "C1_000140"          6.475202396047128e+09          1          5          5          0          0          0          1          4          0
 "C1_000050"          1.178682605268237e+09          1          5          5          0          0          0          0          5          0
 "C1_600000"         -1.555302922110383e+09          1          5          6          6          0          0          0          0          0
 "C1_510000"         -6.558802980572595e+11          1          5          6          5          1          0          0          0          0
 "C1_501000"         -4.649226432023344e+02          1          5          6          5          0          1          0          0          0
